ID_cliente,Sector,Cantidad_Entradas
CLT-00001,A,3
CLT-00002,B,5
CLT-00003,A,3
CLT-00004,D,4
CLT-00005,D,2
CLT-00006,C,2
CLT-00007,C,1
CLT-00008,B,4
CLT-00009,D,4
CLT-00010,A,4
CLT-00011,A,2
CLT-00012,E,5
CLT-00013,B,3
CLT-00014,C,4
CLT-00015,C,1
CLT-00016,B,1
CLT-00017,C,1
CLT-00018,C,4
CLT-00019,C,2
CLT-00020,D,1
CLT-00021,E,4
CLT-00022,D,3
CLT-00023,D,2
CLT-00024,A,5
CLT-00025,C,4
CLT-00026,C,1
CLT-00027,B,1
CLT-00028,E,5
CLT-00029,C,2
CLT-00030,E,2
CLT-00031,E,3
CLT-00032,E,1
CLT-00033,E,1
CLT-00034,B,1
CLT-00035,E,5
CLT-00036,B,2
CLT-00037,D,3
CLT-00038,A,1
CLT-00039,C,4
CLT-00040,E,4
CLT-00041,A,4
CLT-00042,A,2
CLT-00043,C,2
CLT-00044,D,1
CLT-00045,D,2
CLT-00046,E,1
CLT-00047,C,1
CLT-00048,C,4
CLT-00049,B,4
CLT-00050,A,3
CLT-00051,A,3
CLT-00052,A,1
CLT-00053,A,3
CLT-00054,D,5
CLT-00055,E,4
CLT-00056,B,5
CLT-00057,A,4
CLT-00058,E,1
CLT-00059,A,2
CLT-00060,A,1
CLT-00061,B,3
CLT-00062,B,1
CLT-00063,E,5
CLT-00064,B,5
CLT-00065,C,1
CLT-00066,C,3
CLT-00067,B,3
CLT-00068,A,5
CLT-00069,E,2
CLT-00070,B,2
CLT-00071,B,2
CLT-00072,A,1
CLT-00073,A,1
CLT-00074,A,1
CLT-00075,D,4
CLT-00076,D,4
CLT-00077,E,1
CLT-00078,A,3
CLT-00079,B,2
CLT-00080,B,4
CLT-00081,D,4
CLT-00082,D,2
CLT-00083,B,3
CLT-00084,A,3
CLT-00085,C,4
CLT-00086,B,3
CLT-00087,D,3
CLT-00088,E,3
CLT-00089,C,1
CLT-00090,D,5
CLT-00091,A,3
CLT-00092,E,1
CLT-00093,E,1
CLT-00094,E,3
CLT-00095,E,5
CLT-00096,A,1
CLT-00097,D,4
CLT-00098,B,2
CLT-00099,C,3
CLT-00100,B,3
CLT-00101,B,5
CLT-00102,B,5
CLT-00103,B,2
CLT-00104,C,3
CLT-00105,E,1
CLT-00106,D,1
CLT-00107,A,5
CLT-00108,B,3
CLT-00109,B,1
CLT-00110,B,4
CLT-00111,B,1
CLT-00112,A,2
CLT-00113,C,3
CLT-00114,D,5
CLT-00115,C,5
CLT-00116,A,1
CLT-00117,B,1
CLT-00118,D,1
CLT-00119,C,4
CLT-00120,C,4
CLT-00121,D,4
CLT-00122,E,5
CLT-00123,D,4
CLT-00124,E,5
CLT-00125,C,4
CLT-00126,C,4
CLT-00127,C,1
CLT-00128,D,2
CLT-00129,B,3
CLT-00130,E,1
CLT-00131,A,5
CLT-00132,A,2
CLT-00133,A,4
CLT-00134,A,3
CLT-00135,C,3
CLT-00136,E,1
CLT-00137,B,2
CLT-00138,E,2
CLT-00139,E,1
CLT-00140,D,1
CLT-00141,D,3
CLT-00142,D,2
CLT-00143,D,2
CLT-00144,E,3
CLT-00145,A,5
CLT-00146,E,4
CLT-00147,A,2
CLT-00148,A,5
CLT-00149,E,4
CLT-00150,D,4
CLT-00151,E,3
CLT-00152,C,1
CLT-00153,E,4
CLT-00154,A,5
CLT-00155,A,5
CLT-00156,A,5
CLT-00157,E,1
CLT-00158,B,5
CLT-00159,D,2
CLT-00160,D,3
CLT-00161,A,4
CLT-00162,B,4
CLT-00163,D,1
CLT-00164,B,1
CLT-00165,E,3
